date,passive_aum_cr,notes
2015-03-31,41000,AMFI estimate; ETF+index fund AUM pre-EPFO mandate
2015-09-30,47000,Post-EPFO FY16 allocation begins
2016-03-31,60000,EPFO FY16 ETF deployment ~6500 Cr
2016-09-30,68000,Steady retail + EPFO inflows
2017-03-31,95000,Demonetisation-driven retail MF surge
2017-09-30,115000,ETF launches accelerating; CPSE ETF FFOs
2018-03-31,145000,NPS + EPFO scale-up; ₹1L Cr milestone crossed
2018-09-30,160000,Markets volatile but SIP flows resilient
2019-03-31,162000,Flat year; IL&FS crisis dampens sentiment
2019-09-30,170000,Bharat Bond ETF announced; gradual recovery
2020-03-31,185000,Pre-COVID peak; sharp fall in Mar 2020 (AUM mark-to-market)
2020-09-30,220000,V-shaped recovery; Nifty+35% from Mar lows
2021-03-31,300000,Retail participation surge; ₹3L Cr milestone
2021-09-30,390000,Bull market; index fund vs active debate mainstream
2022-03-31,450000,Rate hike cycle begins; AUM resilient on inflows
2022-09-30,480000,Markets recover H2; steady SIP growth
2023-03-31,560000,₹5L Cr milestone; SEBI push for passive
2023-09-30,680000,Nifty at all-time highs; massive retail ETF adoption
2024-03-31,850000,₹8.5L Cr; election rally adds AUM
2024-09-30,1020000,₹10L Cr crossed; institutional + retail convergence
2025-03-31,1100000,Estimate based on trajectory
