announcement_date,effective_date,symbol,action,era,alpha,beta,sigma_e,car_eff_window,car_pre_drift,car_ann_day,car_post_short,car_post_medium,car_post_long
2015-02-20,2015-03-27,DLF,Exclusion,Era1_2015-2017,-0.001301,1.9206,0.033605,-0.0016,-0.1654,0.0086,0.0483,0.1576,0.0708
2015-02-20,2015-03-27,JINDALSTEL,Exclusion,Era1_2015-2017,-0.004147,1.8174,0.027547,0.0665,0.2777,0.0139,0.0155,-0.0781,0.0217
2015-02-20,2015-03-27,IDEA,Inclusion,Era1_2015-2017,-0.001179,1.0216,0.020684,0.1486,-0.0182,0.0196,0.0093,0.1712,0.3128
2015-02-20,2015-03-27,YESBANK,Inclusion,Era1_2015-2017,0.001066,1.8131,0.018032,-0.0113,-0.0319,0.0239,-0.0098,0.0497,0.0746
2015-08-12,2015-09-25,NMDC,Exclusion,Era1_2015-2017,-0.001776,0.7462,0.016262,-0.0898,-0.0151,-0.0452,-0.0159,0.1612,0.1365
2015-08-12,2015-09-25,ADANIPORTS,Inclusion,Era1_2015-2017,0.000519,1.4004,0.019149,-0.0724,0.0319,0.0253,0.0663,0.0573,-0.0172
2016-02-22,2016-03-25,EICHERMOT,Inclusion,Era1_2015-2017,0.001408,1.2251,0.019362,0.0465,0.0599,0.0345,0.0101,-0.1615,-0.1272
2016-02-22,2016-03-25,AUROPHARMA,Inclusion,Era1_2015-2017,0.002166,1.3411,0.020331,-0.0116,-0.1149,0.0118,0.0229,-0.0085,-0.0581
2016-02-22,2016-03-25,PNB,Exclusion,Era1_2015-2017,-0.001931,1.3772,0.019638,0.0127,-0.1366,-0.0225,0.0081,0.0952,0.1425
2016-02-22,2016-03-25,VEDL,Exclusion,Era1_2015-2017,-0.002152,1.9177,0.028186,-0.0271,0.1239,0.0096,0.0088,0.1686,0.2654
2017-02-16,2017-03-31,BHEL,Exclusion,Era1_2015-2017,-0.000866,1.4743,0.022117,0.0319,0.0992,-0.0064,-0.0154,0.0776,0.1198
2017-02-16,2017-03-31,IDEA,Exclusion,Era1_2015-2017,7.1e-05,0.6985,0.029513,-0.0114,-0.0007,-0.0208,0.115,-0.0902,-0.2118
2017-02-16,2017-03-31,IBULHSGFIN,Inclusion,Era1_2015-2017,-0.000241,1.3293,0.017815,-0.0374,0.0767,0.0319,-0.0044,0.0827,0.0873
2017-02-16,2017-03-31,IOC,Inclusion,Era1_2015-2017,0.002196,1.063,0.0167,0.083,-0.004,0.0268,-0.0231,-0.1152,0.0177
2017-08-28,2017-09-29,ACC,Exclusion,Era1_2015-2017,-0.000361,1.2654,0.012383,0.0466,-0.0105,0.0198,-0.0303,-0.0991,-0.0449
2017-08-28,2017-09-29,BANKBARODA,Exclusion,Era1_2015-2017,-0.000546,1.4779,0.020785,-0.0204,-0.0668,-0.0092,-0.0388,0.0184,0.2872
2017-08-28,2017-09-29,TATAPOWER,Exclusion,Era1_2015-2017,-0.000121,0.9938,0.012581,0.0084,0.0416,-0.0216,0.0085,0.0596,0.026
2017-08-28,2017-09-29,BAJFINANCE,Inclusion,Era1_2015-2017,0.001175,1.8587,0.018558,0.0228,0.0366,0.0178,-0.0112,-0.0205,-0.1583
2017-08-28,2017-09-29,HINDPETRO,Inclusion,Era1_2015-2017,0.001446,1.4993,0.01995,0.0287,0.0777,0.0079,-0.0025,-0.1282,-0.1336
2017-08-28,2017-09-29,UPL,Inclusion,Era1_2015-2017,0.000817,1.249,0.01495,-0.0029,0.0044,0.0145,-0.0458,-0.0933,-0.1423
2018-02-21,2018-03-30,TITAN,Inclusion,Era2_2018-2025,0.002334,1.3411,0.023686,-0.0278,0.0533,-0.0254,-0.0252,0.073,0.0496
2018-02-21,2018-03-30,GRASIM,Inclusion,Era2_2018-2025,0.000896,1.1925,0.015335,-0.0362,0.0464,-0.0117,0.0223,-0.0006,-0.0776
2018-02-21,2018-03-30,BAJAJFINSV,Inclusion,Era2_2018-2025,0.000699,1.2889,0.015951,0.0414,0.0506,-0.0167,0.0043,0.0552,0.0185
2018-02-21,2018-03-30,AUROPHARMA,Exclusion,Era2_2018-2025,-0.001074,1.1871,0.019095,0.0882,-0.0172,0.0207,0.0373,0.0012,0.1145
2018-02-21,2018-03-30,AMBUJACEM,Exclusion,Era2_2018-2025,-0.000147,0.8901,0.011789,0.0121,0.0472,-0.0276,-0.0256,-0.0895,-0.0363
2018-02-21,2018-03-30,BOSCHLTD,Exclusion,Era2_2018-2025,-0.001002,0.6878,0.012254,0.1367,0.0022,-0.0259,-0.0139,-0.0468,0.0711
2019-08-28,2019-09-27,IBULHSGFIN,Exclusion,Era2_2018-2025,-0.002647,2.4688,0.036845,-0.4129,-0.0117,-0.0073,0.0301,-0.2102,-0.7349
2019-08-28,2019-09-27,NESTLEIND,Inclusion,Era2_2018-2025,0.000963,0.6404,0.014654,0.0321,0.0309,0.0267,-0.006,0.0293,0.0749
2020-02-18,2020-03-27,YESBANK,Exclusion,Era2_2018-2025,-0.005551,1.9022,0.059041,-0.5273,0.0408,-0.051,0.1289,1.8442,1.1844
2020-02-18,2020-03-27,SHREECEM,Inclusion,Era2_2018-2025,0.001313,1.056,0.013013,-0.161,-0.0098,0.0117,-0.0056,0.0603,-0.0028
2020-08-20,2020-09-25,DIVISLAB,Inclusion,Era2_2018-2025,0.002106,0.5176,0.018365,-0.0664,0.1412,0.025,-0.0101,-0.0546,-0.0994
2020-08-20,2020-09-25,ZEEL,Exclusion,Era2_2018-2025,-0.002989,1.0009,0.044987,0.0501,0.3157,-0.0145,0.0856,0.1956,0.0149
2020-08-20,2020-09-25,SBILIFE,Inclusion,Era2_2018-2025,0.000516,0.8818,0.020313,-0.0396,-0.0254,-0.0009,-0.0399,-0.0257,-0.1226
2021-02-23,2021-03-26,TATACONSUM,Inclusion,Era2_2018-2025,0.001024,0.9256,0.020279,0.0629,0.0523,-0.0089,0.01,0.0134,0.0567
2021-02-23,2021-03-26,GAIL,Exclusion,Era2_2018-2025,0.000161,0.8009,0.025471,0.0088,0.1081,0.0088,-0.0069,-0.0677,-0.0682
2022-02-24,2022-03-25,APOLLOHOSP,Inclusion,Era2_2018-2025,0.001838,0.8001,0.024457,-0.0678,0.0085,0.0221,0.0382,-0.0541,-0.1083
2022-02-24,2022-03-25,IOC,Exclusion,Era2_2018-2025,0.001019,0.8046,0.014359,-0.0118,-0.0232,-0.0236,0.0248,0.0223,0.0733
2024-02-28,2024-03-29,SHRIRAMFIN,Inclusion,Era2_2018-2025,0.001819,1.0032,0.018043,0.037,-0.0189,0.0344,-0.0559,-0.0563,-0.0385
2024-02-28,2024-03-29,UPL,Exclusion,Era2_2018-2025,-0.002448,1.2379,0.012714,0.0336,0.0105,-0.0141,-0.0103,0.0151,0.1221
2024-08-23,2024-09-30,DIVISLAB,Exclusion,Era2_2018-2025,0.000739,0.6137,0.013711,0.046,-0.0255,-0.0032,0.0255,0.0699,0.1673
2024-08-23,2024-09-30,BEL,Inclusion,Era2_2018-2025,0.002121,1.7891,0.019446,0.0204,-0.0414,-0.0114,-0.0487,-0.1942,-0.1449
2024-08-23,2024-09-30,LTIM,Exclusion,Era2_2018-2025,0.000179,0.5893,0.014445,0.0654,0.011,0.0019,0.0669,0.0863,0.039
2024-08-23,2024-09-30,TRENT,Inclusion,Era2_2018-2025,0.004141,0.7997,0.020942,0.0565,0.1939,-0.0239,0.0109,-0.0264,-0.0524
2025-02-21,2025-03-28,BPCL,Exclusion,Era2_2018-2025,-0.000446,1.4531,0.017543,0.0795,0.0329,-0.0056,-0.0042,0.0475,0.123
2025-02-21,2025-03-28,BRITANNIA,Exclusion,Era2_2018-2025,-7.8e-05,0.2392,0.013282,0.0594,-0.017,-0.0019,-0.0385,0.0003,0.1105
2025-02-21,2025-03-28,JIOFIN,Inclusion,Era2_2018-2025,-0.000774,1.2851,0.019635,0.028,-0.0142,-0.0073,-0.0977,-0.0453,0.064
2025-02-21,2025-03-28,ZOMATO,Inclusion,Era2_2018-2025,0.00203,0.8507,0.025127,0.0402,0.0295,-0.0392,0.0065,-0.1324,-0.1133
2025-08-22,2025-09-26,INDIGO,Inclusion,Era2_2018-2025,0.001339,0.952,0.016407,-0.0131,0.0036,0.0045,-0.0664,-0.0947,-0.1168
2025-08-22,2025-09-26,HEROMOTOCO,Exclusion,Era2_2018-2025,-0.000421,0.9999,0.01395,0.0465,0.1173,-0.0008,0.0508,0.0691,0.0918
2025-08-22,2025-09-26,MAXHEALTH,Inclusion,Era2_2018-2025,0.001688,0.9648,0.021229,-0.0219,-0.0522,-0.022,-0.026,-0.081,-0.1088
2025-08-22,2025-09-26,INDUSINDBK,Exclusion,Era2_2018-2025,-0.001845,0.767,0.026809,-0.0026,-0.0421,0.0118,-0.0053,-0.0197,0.0318
